,Raw Timestamp,Raw countrycode
252,1544734968816,USA
253,1544734970616,USA
254,1544734965802,USA
255,1544734972295,USA
256,1544734971151,USA
257,1544734889311,USA
258,1544734975861,USA
259,1544734972782,USA
260,1544734973127,USA
261,1544734967609,USA
262,1544734974433,USA
263,1544734978710,USA
264,1544734975431,USA
265,1544734917098,USA
266,1544734972022,USA
267,1544734972782,USA
268,1544734968964,USA
269,1544734973594,USA
270,1544734968345,USA
271,1544734972257,USA
272,1544734975414,USA
273,1544734975324,USA
274,1544734969134,USA
275,1544734968791,USA
276,1544734975163,USA
277,1544734976275,USA
278,1544734971991,USA
279,1544734965641,USA
280,1544735000876,USA
281,1544734969921,USA
282,1544734973595,USA
283,1544735207014,USA
284,1544734976232,USA
285,1544734972527,USA
286,1544734975275,USA
287,1544734974960,USA
288,1544734976465,USA
289,1544734977734,USA
290,1544734974835,USA
291,1544734977228,USA
292,1544734977649,USA
293,1544734975302,USA
294,1544734977450,USA
295,1544734972428,USA
296,1544734973016,USA
297,1544734975976,USA
298,1544734968261,USA
299,1544734977791,USA
300,1544734969086,USA
301,1544734969880,USA
302,1544734971083,USA
303,1544734975188,USA
304,1544734978391,USA
305,1544734979112,USA
306,1544734979934,USA
307,1544734980265,USA
308,1544734980173,USA
309,1544734981014,USA
310,1544734959109,USA
311,1544734977257,USA
312,1544734981947,USA
313,1544734958108,USA
314,1544734982413,USA
315,1544734984059,USA
316,1544734980949,USA
317,1544734982334,USA
318,1544734981733,USA
319,1544734979944,USA
320,1544734980182,USA
321,1544734977867,USA
322,1544734976124,USA
323,1544734961954,USA
324,1544734982522,USA
325,1544734985570,USA
326,1544734978614,USA
327,1544734981425,USA
328,1544734974109,USA
329,1544734983171,USA
330,1544734985283,USA
331,1544734977968,USA
332,1544734976404,USA
333,1544734982664,USA
334,1544734978248,USA
335,1544734974472,USA
336,1544734975218,USA
337,1544734978968,USA
338,1544734984321,USA
339,1544734985964,USA
340,1544734973619,USA
341,1544734983754,USA
342,1544734986088,USA
343,1544734954798,USA
344,1544734985714,USA
345,1544734967053,USA
346,1544734985958,USA
347,1544734980855,USA
348,1544734985297,USA
349,1544734987014,USA
350,1544734986485,USA
351,1544734970069,USA
352,1544734988386,USA
353,1544734988278,USA
354,1544734991778,USA
355,1544734982003,USA
356,1544734990226,USA
357,1544734985289,USA
358,1544734989316,USA
359,1544734985723,USA
360,1544734988512,USA
361,1544734985420,USA
362,1544734992150,USA
363,1544734992697,USA
364,1544734981973,USA
365,1544734984877,USA
366,1544734981458,USA
367,1544734992728,USA
368,1544734987589,USA
369,1544734982971,USA
370,1544734987398,USA
371,1544734986963,USA
372,1544734988059,USA
373,1544734994632,USA
374,1544734989855,USA
375,1544734996016,USA
376,1544734992353,USA
377,1544734995379,USA
378,1544734992933,USA
379,1544734996612,USA
380,1544734997596,USA
381,1544734998548,USA
382,1544735001403,USA
383,1544734999723,USA
384,1544734992959,USA
385,1544734967722,USA
386,1544735001087,USA
387,1544735001156,USA
388,1544734985540,USA
389,1544735004470,USA
390,1544734999182,USA
391,1544734998774,USA
392,1544735007729,USA
393,1544735015507,USA
394,1544735018017,USA
395,1544735027856,USA
396,1544735028889,USA
397,1544735036993,USA
398,1544735058212,USA
399,1544735051639,USA
