IP,Country,Download,Upload,Latency,ISP,Timestamp,Latitude,Longitude,ConnectionType,DeviceID,POP,AppID,ExchangeName
80.10.24.241 HTTP/1.1,IT,13.985,2.866,104,0,1544810311955,31.95,35.9333,fixed,e9cb3d59-65ba-4fcb-b201-62cc03ba1f3d,MRS,13224155,Mopub
94.249.91.28 HTTP/1.1,IT,36.974,39.381,83,0,1544810313152,31.95,35.9333,fixed,af9a9e43-ec07-46a0-86d6-40269790b97b,MRS,13224155,Mopub
92.253.31.252 HTTP/1.1,IT,11.024,2.815,112,0,1544810319059,31.95,35.9333,fixed,d01fc183-d485-4929-b387-6d6df31ea86f,MRS,13224155,Mopub
212.34.11.156 HTTP/1.1,IT,4.515,4.268,107,0,1544810321152,31.95,35.9333,cellular,089abc9b-7539-449e-b827-5d7d7c1e0126,MRS,13224155,Mopub
92.241.33.180 HTTP/1.1,DE,16.996,17.163,91,0,1544810324552,31.95,35.9333,cellular,58474492-8422-475c-9392-da902e85821d,FRA,4103398,Mopub
92.241.37.15 HTTP/1.1,DE,3.306,6.556,207,0,1544810327959,31.95,35.9333,fixed,fcb715e4-cec0-4230-a4bb-0534829d7f32,FRA,15846075,Mopub
188.247.72.207 HTTP/1.1,US,23.799,32.128,65,0,1544810332559,31.95,35.9333,cellular,19915f89-77fa-4fd8-b32e-a39da4d01f16,RUH,13224155,Mopub
149.200.194.204 HTTP/1.1,IT,51.270,31.361,89,0,1544810335552,31.95,35.9333,fixed,8e86253c-8be2-4ed6-9614-5e28d98f91f2,MRS,15846075,Mopub
82.212.114.72 HTTP/1.1,DE,63.477,32.502,85,0,1544810340952,31.95,35.9333,fixed,1b4ed5ae-24bb-4d68-b673-d2c109b2d7b4,FRA,107882,Mopub
188.247.74.155 HTTP/1.1,US,13.261,2.456,700,0,1544810342159,31.95,35.9333,cellular,9ee242fd-bb16-4ed3-b510-1d3d02a84f56,RUH,783426,Mopub
46.32.120.227 HTTP/1.1,US,7.925,2.523,131,0,1544810344159,31.95,35.9333,cellular,904bfed7-85ea-4df8-ae76-cdd47a0bd2b0,RUH,4103398,Mopub
188.247.77.236 HTTP/1.1,US,11.715,10.030,394,0,1544810345552,31.95,35.9333,fixed,67fc9d92-aa2e-43c7-a4ed-77e6c8c741c3,RUH,898297,Mopub
94.249.123.71 HTTP/1.1,IT,53.335,44.011,87,0,1544810347855,31.95,35.9333,fixed,a97e97d7-c65c-4f6f-b698-6c363018539c,MRS,12896804,Mopub
46.32.123.174 HTTP/1.1,US,2.623,21.760,113,0,1544810348953,31.95,35.9333,cellular,2f89e2a4-ed1b-4a49-b7be-9b0ed219f19d,RUH,1368560,Mopub
46.32.120.227 HTTP/1.1,US,10.488,1.939,564,0,1544810349255,31.95,35.9333,cellular,904bfed7-85ea-4df8-ae76-cdd47a0bd2b0,RUH,4103398,Mopub
5.45.140.191 HTTP/1.1,DE,0.836,3.924,332,0,1544810352659,31.95,35.9333,fixed,addc4f48-8091-41cf-a57f-86b9689163e5,FRA,190908,Mopub
92.241.61.83 HTTP/1.1,DE,0.226,9.805,159,0,1544810353152,31.95,35.9333,cellular,57015e4f-eb80-4ec4-bdcb-fad036d7231e,FRA,579914,Mopub
82.212.114.72 HTTP/1.1,DE,64.713,23.766,111,0,1544810353652,31.95,35.9333,fixed,1b4ed5ae-24bb-4d68-b673-d2c109b2d7b4,FRA,107882,Mopub
46.32.125.16 HTTP/1.1,US,0.940,24.503,70,0,1544810356359,31.95,35.9333,cellular,cda7c1ca-1493-45eb-aa8b-f136efb7ef8f,RUH,13862807,Mopub
94.249.22.103 HTTP/1.1,IT,6.400,3.234,113,0,1544810359361,31.95,35.9333,fixed,8dab7570-91a0-4f2d-9be9-20c4495be71b,MRS,13224155,Mopub
94.249.85.102 HTTP/1.1,IT,5.017,2.869,107,0,1544810362959,31.95,35.9333,fixed,2fdc9928-7361-4fbc-beda-7781925d9e81,MRS,15846075,Mopub
188.247.77.143 HTTP/1.1,US,5.172,17.653,98,0,1544810364559,31.95,35.9333,cellular,d3e3a1ce-8df1-499b-b4f0-e134df4f9fa2,RUH,100414,Mopub
188.247.76.246 HTTP/1.1,US,5.448,4.219,116,0,1544810367459,31.95,35.9333,cellular,12ea4434-b998-4159-9bc3-00d728862269,RUH,898297,Mopub
37.123.80.239 HTTP/1.1,US,22.992,2.995,74,0,1544810370557,31.95,35.9333,fixed,462b6163-7cb1-4a73-a685-cf4c18b64fcf,RUH,15846075,Mopub
212.34.23.86 HTTP/1.1,IT,0.374,1.180,208,0,1544810376055,31.95,35.9333,cellular,c5dc13fc-8bbf-41f6-8e67-b68e4d041f4c,MRS,898297,Mopub
46.32.120.6 HTTP/1.1,US,10.207,3.909,86,0,1544810378352,31.95,35.9333,cellular,062e3998-d1c5-4def-b7f5-fe0fb64822e0,RUH,13224155,Mopub
92.241.46.119 HTTP/1.1,DE,2.738,3.439,134,0,1544810379060,31.95,35.9333,fixed,4cf9cbb8-c937-46f1-bd73-4acb1a5391a0,FRA,15846075,Mopub
86.108.1.13 HTTP/1.1,IT,10.690,6.006,110,0,1544810380155,31.95,35.9333,fixed,6f34b3c0-cac6-4e19-ab91-c2c17f4a2632,MRS,933694,Mopub
188.247.78.1 HTTP/1.1,US,2.438,0.000,92,0,1544810384759,31.95,35.9333,cellular,beeddb36-467d-4369-921f-749b3c493b72,RUH,698059,Mopub
212.34.19.32 HTTP/1.1,IT,0.063,1.611,667,0,1544810386961,32.3846,35.6615,cellular,2cc8bbd6-d570-4f9f-b076-9cff8d103900,MRS,898297,Mopub
92.241.57.31 HTTP/1.1,DE,2.160,4.674,499,0,1544810392059,32.5556,35.85,fixed,3be18416-92fb-47c6-a7e7-47a6348fe7f2,FRA,15846075,Mopub
188.247.78.191 HTTP/1.1,US,38.361,11.396,108,0,1544810394159,31.95,35.9333,cellular,44bdd95b-a9c0-49eb-96e4-0531c703a13d,RUH,4103398,Mopub
86.108.65.19 HTTP/1.1,IT,8.901,2.832,107,0,1544810395553,31.95,35.9333,fixed,073df102-2f1b-473d-9794-2e8ef2988c6a,MRS,15846075,Mopub
79.173.222.129 HTTP/1.1,IT,1.585,4.360,94,0,1544810400554,31.95,35.9333,fixed,4f1e4e3f-489b-4d77-b851-bad53f18cdb8,MRS,15846075,Mopub
188.247.78.191 HTTP/1.1,US,26.631,9.766,93,0,1544810401661,31.95,35.9333,cellular,44bdd95b-a9c0-49eb-96e4-0531c703a13d,RUH,4103398,Mopub
92.241.32.254 HTTP/1.1,DE,3.335,2.732,137,0,1544810403659,31.95,35.9333,cellular,101f139a-8a80-4cbb-b745-b476729a017c,FRA,4103400,Mopub
94.249.42.192 HTTP/1.1,IT,11.714,2.799,110,0,1544810405959,31.95,35.9333,fixed,aa141c77-8cee-4bd3-874b-c5f055fdf628,MRS,15846075,Mopub
92.241.55.121 HTTP/1.1,DE,0.187,1.510,123,0,1544810406452,32.2834,35.8253,cellular,ae4ab3fa-b623-4d81-9dd5-3dc2ce30e56b,FRA,898297,Mopub
