countrycode3,countrycode2
AND,AD
ARE,AE
AUS,AU
BHR,BH
CAN,CA
CUB,CU
DEU,DE
EGY,EG
ESP,ES
GBR,GB
ISR,IL
ITA,IT
JOR,JO
KWT,KW
NLD,NL
OMN,OM
QAT,QA
SAU,SA
SGP,SG
TUR,TR
USA,US
